ID,SEQUENCE,pname,DESCRIPTION,ICONURL,STATUSCATEGORY
1,1,Open,The issue is open and ready for the assignee to start work on it.,/images/icons/statuses/open.png,2
10001,8,Pending External,,/images/icons/status_generic.gif,4
10014,21,Test,This status is managed internally by JIRA Software,/images/icons/subtask.gif,4
10015,22,To be verified,NULL,/images/icons/statuses/generic.png,4
10016,23,Done,NULL,/images/icons/statuses/closed.png,3
10017,24,To Do,,/images/icons/statuses/open.png,2
10018,25,Pending,,/images/icons/statuses/generic.png,4
10020,27,Approved,NULL,/images/icons/statuses/generic.png,3
10021,28,Rejected,NULL,/images/icons/statuses/generic.png,3
10121,30,Screening,NULL,/images/icons/statuses/generic.png,4
10122,31,Schedule 1st interview,NULL,/images/icons/statuses/generic.png,4
10123,32,1st interview,NULL,/images/icons/statuses/generic.png,4
10124,33,Schedule 2nd interview,NULL,/images/icons/statuses/generic.png,4
10125,34,2nd interview,NULL,/images/icons/statuses/generic.png,4
10126,35,Offering,NULL,/images/icons/statuses/generic.png,4
10220,36,3rd Interview,NULL,/images/icons/statuses/generic.png,4
10221,37,Schedule 3rd interview,NULL,/images/icons/statuses/generic.png,4
10320,38,Interview,NULL,/images/icons/statuses/generic.png,4
10420,39,Boarding,NULL,/images/icons/statuses/generic.png,4
10421,40,Working,NULL,/images/icons/statuses/generic.png,4
10422,41,Departing,NULL,/images/icons/statuses/generic.png,4
10423,42,Technical and DISC Test,NULL,/images/icons/statuses/generic.png,4
10424,43,Final Interview,NULL,/images/icons/statuses/generic.png,4
10425,44,Schedule Final Interview,NULL,/images/icons/statuses/generic.png,4
10426,45,Hired,NULL,/images/icons/statuses/generic.png,4
10427,46,Joined,NULL,/images/icons/statuses/generic.png,3
10520,47,Cancelled,NULL,/images/icons/status_generic.gif,3
10521,48,Lost,NULL,/images/icons/status_generic.gif,3
10522,49,Reviewed,NULL,/images/icons/status_generic.gif,4
10523,50,Submitted,NULL,/images/icons/status_generic.gif,4
10620,57,New,NULL,/images/icons/statuses/generic.png,2
10622,59,Finalized,NULL,/images/icons/statuses/generic.png,3
10623,60,Archived,NULL,/images/icons/statuses/generic.png,3
10720,61,Ready,NULL,/images/icons/statuses/generic.png,2
10722,63,Sent,NULL,/images/icons/statuses/generic.png,4
10723,64,Received,NULL,/images/icons/statuses/generic.png,4
10724,65,Completed,NULL,/images/icons/statuses/generic.png,3
10725,66,Accepted,NULL,/images/icons/statuses/generic.png,4
10920,71,Asset Disposed,NULL,/images/icons/status_generic.gif,3
10921,72,Deployed,NULL,/images/icons/status_generic.gif,4
10922,73,Enter Item Details,NULL,/images/icons/status_generic.gif,1
10923,74,Obsolete - Pending Approval,NULL,/images/icons/status_generic.gif,4
10924,75,Obsolete - Pending disposal,NULL,/images/icons/status_generic.gif,4
10925,76,Off-Site Service / Repair,NULL,/images/icons/status_generic.gif,4
10926,77,Reported Lost / Missing / Stolen,NULL,/images/icons/status_generic.gif,3
10927,78,Service Request,NULL,/images/icons/status_generic.gif,4
10928,79,Stock,NULL,/images/icons/status_generic.gif,4
10929,80,TAG Not in Use,NULL,/images/icons/status_generic.gif,3
11021,82,Booked,NULL,/images/icons/statuses/generic.png,2
11027,88,Removed,NULL,/images/icons/statuses/generic.png,3
11028,89,To be Defined,NULL,/images/icons/statuses/generic.png,4
11029,90,Acceptance Passed,NULL,/images/icons/statuses/generic.png,3
11030,91,Verified,NULL,/images/icons/statuses/generic.png,3
11120,93,Transferring,NULL,/images/icons/statuses/generic.png,4
11121,94,Updated,NULL,/images/icons/statuses/generic.png,4
11220,95,Uncheck,NULL,/images/icons/statuses/generic.png,2
11221,96,Checked,NULL,/images/icons/statuses/generic.png,3
11222,97,Not Apply,NULL,/images/icons/statuses/generic.png,3
11420,99,Analyzing,NULL,/images/icons/statuses/generic.png,4
11421,100,Ready for DEV,NULL,/images/icons/statuses/generic.png,4
11422,101,Parked,NULL,/images/icons/statuses/generic.png,4
11720,110,1st Interviewed,NULL,/images/icons/statuses/generic.png,4
11721,111,2nd Interviewed,NULL,/images/icons/statuses/generic.png,4
11722,112,3rd Interviewed,NULL,/images/icons/statuses/generic.png,4
11723,113,Interviewed,NULL,/images/icons/statuses/generic.png,4
11724,114,In Review,NULL,/images/icons/statuses/generic.png,4
11725,115,Delivered,NULL,/images/icons/statuses/generic.png,3
